symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
QQQ,3,0.382,False,False,off,20,0.03,126,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,20,0.03,252,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,20,0.05,126,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,20,0.05,252,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,40,0.03,126,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,40,0.03,252,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,40,0.05,126,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,off,40,0.05,252,753,48,48,0,24,24,0.5,0.10589776652753202,0.054146689907976775,0.01780386612691398,0.44956079193382537,-0.04700420347784251,0.0011511359545437036,0.06374501992031872,503,36,36,0,22,14,0.6111111111111112,0.01761692599858189,-0.01836915049777088,-0.009245404517757017,-0.14425558171794725,-0.09697547162619524,-0.00043302208256154297,0.07157057654075547
QQQ,3,0.382,False,False,long_nonnegative,20,0.03,126,753,40,40,0,20,20,0.5,0.0804301138678698,0.03812399835601399,0.012600155114316225,0.4322117717667427,-0.0450592869449149,0.0009690411242944816,0.05312084993359894,503,26,26,0,16,10,0.6153846153846154,0.014780816489246451,-0.011263878612807865,-0.005659085204908765,-0.1012579969822235,-0.06625872434086644,-0.000354909850727127,0.05168986083499006
QQQ,3,0.382,False,False,long_nonnegative,20,0.03,252,753,43,43,0,21,22,0.4883720930232558,0.07386397013013513,0.028715440188129104,0.009519582636572155,0.2644601307756,-0.04700420347784251,0.0007102135252324141,0.057104913678618856,503,26,26,0,16,10,0.6153846153846154,0.014780816489246451,-0.011263878612807865,-0.005659085204908765,-0.1012579969822235,-0.06625872434086644,-0.000354909850727127,0.05168986083499006
QQQ,3,0.382,False,False,long_nonnegative,20,0.05,126,753,37,37,0,18,19,0.4864864864864865,0.06618446599086569,0.0275021950972969,0.009120976420147864,0.34197415931570796,-0.04505928694491468,0.0007642126543306183,0.049136786188579015,503,31,31,0,20,11,0.6451612903225806,0.049081748215519916,0.017089739424261063,0.008525658723656848,0.20141619675805564,-0.05751244593455973,0.0006210567128945997,0.061630218687872766
QQQ,3,0.382,False,False,long_nonnegative,20,0.05,252,753,42,42,0,20,22,0.47619047619047616,0.052626134761776244,0.00935986063246097,0.003122680577161585,0.10196404182196987,-0.04700420347784251,0.0002716473487010913,0.055776892430278883,503,31,31,0,20,11,0.6451612903225806,0.049081748215519916,0.017089739424261063,0.008525658723656848,0.20141619675805564,-0.05751244593455973,0.0006210567128945997,0.061630218687872766
QQQ,3,0.382,False,False,long_nonnegative,40,0.03,126,753,38,38,0,18,20,0.47368421052631576,0.059676538589262806,0.020202932256730977,0.006716202609039046,0.25840037409820404,-0.04713310698259843,0.0005558016984869372,0.05046480743691899,503,31,31,0,20,11,0.6451612903225806,0.042795799998746054,0.010989469042980149,0.00549064478164607,0.13975773871197203,-0.05751244593455962,0.0004249891452315018,0.061630218687872766
QQQ,3,0.382,False,False,long_nonnegative,40,0.03,252,753,44,44,0,21,23,0.4772727272727273,0.06421957845908799,0.018447895973219053,0.006136292256802456,0.17857749196798722,-0.04713310698259865,0.000465379143493503,0.05843293492695883,503,31,31,0,20,11,0.6451612903225806,0.042795799998746054,0.010989469042980149,0.00549064478164607,0.13975773871197203,-0.05751244593455962,0.0004249891452315018,0.061630218687872766
QQQ,3,0.382,False,False,long_nonnegative,40,0.05,126,753,40,40,0,19,21,0.475,0.07259393518523272,0.030587239028630586,0.010133940656063212,0.36082969413777627,-0.04713310698259876,0.0007848905487969325,0.05312084993359894,503,33,33,0,21,12,0.6363636363636364,0.0335169662137329,-1.8657097574314996e-05,-9.347138120952003e-06,0.025575596298817668,-0.08009443568835584,7.90023516541214e-05,0.06560636182902585
QQQ,3,0.382,False,False,long_nonnegative,40,0.05,252,753,45,45,0,21,24,0.4666666666666667,0.05895409676005192,0.012390432759152414,0.004129623672591842,0.12619693381291405,-0.04713310698259876,0.00032286538637978313,0.05976095617529881,503,33,33,0,21,12,0.6363636363636364,0.0335169662137329,-1.8657097574314996e-05,-9.347138120952003e-06,0.025575596298817668,-0.08009443568835584,7.90023516541214e-05,0.06560636182902585
QQQ,3,0.382,False,False,directional,20,0.03,126,753,25,25,0,13,12,0.52,0.04347156243259409,0.017737758838465734,0.005901455240167719,0.24339674302760914,-0.04505928694491468,0.000742197228588082,0.033200531208499334,503,26,26,0,16,10,0.6153846153846154,0.014780816489246451,-0.011263878612807865,-0.005659085204908765,-0.1012579969822235,-0.06625872434086644,-0.000354909850727127,0.05168986083499006
