vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,markov_gate,train_trades,test_trades,test_sharpe,test_net_return,test_max_drawdown,test_win_rate,train_sharpe,gate
60,240,2.0,35,70,1.0,0.8,20,off,12,12,8.843275,0.010619,-0.003571,0.5833,-18.887183,go
180,360,2.5,40,75,1.2,0.8,20,off,25,8,8.839496,0.007912,-0.002895,0.625,-20.862023,no_go
180,360,2.5,35,75,1.0,1.2,20,off,16,5,8.724715,0.00718,-0.002233,0.6,-13.677142,no_go
180,360,2.5,35,75,1.2,1.2,20,off,16,5,8.724715,0.00718,-0.002233,0.6,-13.677142,no_go
60,360,1.5,35,75,1.0,1.2,20,off,32,8,8.709907,0.00793,-0.003485,0.625,-17.205372,no_go
60,360,1.5,35,70,1.0,0.8,20,off,36,13,8.629853,0.010363,-0.003571,0.5385,-20.304684,go
90,120,2.0,35,75,1.0,0.8,20,off,12,6,8.628137,0.007085,-0.002779,0.5,-16.81037,no_go
90,120,2.0,35,75,1.2,1.2,20,off,12,5,8.600469,0.007108,-0.002526,0.6,-16.914736,no_go
90,120,2.0,35,75,1.0,1.2,20,off,12,6,8.289095,0.006852,-0.002779,0.5,-16.914736,no_go
90,240,2.5,40,75,1.0,1.2,10,off,3,4,8.259812,0.002313,-0.001229,0.75,-9.967071,no_go
90,240,2.5,40,70,1.0,0.8,20,off,5,7,8.237501,0.009191,-0.006434,0.5714,-11.754921,no_go
60,360,2.5,40,70,1.2,0.8,20,off,5,8,8.150024,0.008062,-0.003571,0.625,-11.217797,no_go
90,240,2.5,35,65,1.0,0.8,20,off,3,9,8.114281,0.009331,-0.005624,0.5556,-10.562532,no_go
60,360,2.5,35,65,1.2,0.8,20,off,3,10,8.007159,0.008223,-0.003571,0.6,-10.533056,go
120,240,2.5,35,70,1.0,1.2,20,off,5,8,7.841238,0.009548,-0.004756,0.625,-13.544522,no_go
120,240,2.5,40,70,1.0,1.2,20,off,6,8,7.841238,0.009548,-0.004756,0.625,-14.024353,no_go
120,360,2.5,35,70,1.0,1.2,20,off,11,8,7.841238,0.009548,-0.004756,0.625,-14.162756,no_go
