vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
60,180,1.5,35,65,1.0,0.8,20,-41.178672,28,-0.041961,-0.041961,0.1071,no_go
60,240,1.0,25,60,1.0,0.8,20,-41.498323,30,-0.040987,-0.040987,0.1,no_go
90,240,1.0,25,60,1.0,0.8,15,-41.731233,31,-0.041304,-0.041304,0.0968,no_go
60,240,1.0,30,60,1.0,0.8,20,-41.766791,34,-0.043921,-0.043921,0.1176,no_go
90,240,1.0,30,60,1.0,0.8,15,-41.852255,35,-0.044161,-0.044161,0.1143,no_go
120,180,1.5,35,65,1.0,0.8,20,-42.064134,29,-0.043223,-0.043223,0.1034,no_go
90,180,1.5,35,65,1.0,0.8,20,-42.149742,29,-0.04353,-0.04353,0.1034,no_go
120,180,1.5,35,65,1.0,0.8,15,-42.264188,29,-0.042364,-0.042364,0.069,no_go
90,240,1.0,25,60,1.0,0.8,20,-42.319676,31,-0.041959,-0.041959,0.0968,no_go
60,180,1.5,35,65,1.0,0.8,15,-42.339777,28,-0.042902,-0.042902,0.0714,no_go
90,180,1.5,35,65,1.0,0.8,15,-42.345154,29,-0.042672,-0.042672,0.069,no_go
90,240,1.5,35,60,1.0,0.8,15,-42.490182,32,-0.044308,-0.044308,0.0938,no_go
90,240,1.0,30,60,1.0,0.8,20,-42.54715,35,-0.04489,-0.04489,0.1143,no_go
120,180,1.0,25,60,1.0,0.8,15,-42.754503,32,-0.04302,-0.04302,0.0938,no_go
120,180,1.0,30,60,1.0,0.8,15,-42.853382,36,-0.045873,-0.045873,0.1111,no_go
120,180,1.0,25,60,1.0,0.8,20,-43.332343,32,-0.043674,-0.043674,0.0938,no_go
120,240,1.5,35,60,1.0,0.8,15,-43.408392,33,-0.045734,-0.045734,0.0909,no_go
90,180,1.0,25,60,1.0,0.8,15,-43.413732,33,-0.04379,-0.04379,0.0909,no_go
90,180,1.0,30,60,1.0,0.8,15,-43.479245,37,-0.04664,-0.04664,0.1081,no_go
120,180,1.0,30,60,1.0,0.8,20,-43.537733,36,-0.0466,-0.0466,0.1111,no_go
90,240,1.5,35,60,1.0,0.8,20,-43.615173,32,-0.04656,-0.04656,0.0938,no_go
90,180,1.0,25,60,1.0,0.8,20,-43.988911,33,-0.044443,-0.044443,0.0909,no_go
90,180,1.0,30,60,1.0,0.8,20,-44.161792,37,-0.047367,-0.047367,0.1081,no_go
120,240,1.5,35,60,1.0,0.8,20,-44.510962,33,-0.047983,-0.047983,0.0909,no_go
60,240,1.5,35,60,1.0,0.8,15,-44.697091,33,-0.048547,-0.048547,0.0909,no_go
120,240,1.0,35,65,1.0,0.8,20,-44.842919,32,-0.047675,-0.047675,0.0938,no_go
60,240,1.5,35,60,1.0,0.8,20,-44.87223,33,-0.049002,-0.049002,0.0909,no_go
120,240,1.0,35,65,1.0,0.8,15,-44.98713,32,-0.046518,-0.046518,0.0625,no_go
60,180,1.0,30,60,1.0,0.8,15,-45.708307,35,-0.047443,-0.047443,0.0857,no_go
60,180,1.0,30,60,1.0,0.8,20,-45.872965,35,-0.047898,-0.047898,0.0857,no_go
60,180,1.0,25,60,1.0,0.8,20,-45.891525,31,-0.044976,-0.044976,0.0645,no_go
60,180,1.0,25,60,1.0,0.8,15,-45.899009,31,-0.044595,-0.044595,0.0645,no_go
60,180,1.5,35,60,1.0,0.8,15,-46.604482,35,-0.051788,-0.051788,0.0857,no_go
60,180,1.5,35,60,1.0,0.8,20,-46.6929,35,-0.051942,-0.051942,0.0857,no_go
90,240,1.0,35,65,1.0,0.8,20,-47.499443,35,-0.052187,-0.052187,0.0857,no_go
120,180,1.0,35,65,1.0,0.8,20,-47.662367,35,-0.053029,-0.053029,0.0857,no_go
90,240,1.0,35,65,1.0,0.8,15,-47.664713,35,-0.051036,-0.051036,0.0571,no_go
120,180,1.0,35,65,1.0,0.8,15,-47.81295,35,-0.051879,-0.051879,0.0571,no_go
120,180,1.5,35,60,1.0,0.8,15,-47.929095,38,-0.053483,-0.053483,0.0789,no_go
90,180,1.5,35,60,1.0,0.8,15,-48.060353,38,-0.054407,-0.054407,0.0789,no_go
90,180,1.0,35,65,1.0,0.8,20,-48.51403,36,-0.054496,-0.054496,0.0833,no_go
90,180,1.0,35,65,1.0,0.8,15,-48.671553,36,-0.053348,-0.053348,0.0556,no_go
120,180,1.5,35,60,1.0,0.8,20,-48.859333,38,-0.055414,-0.055414,0.0789,no_go
90,180,1.5,35,60,1.0,0.8,20,-48.987005,38,-0.056337,-0.056337,0.0789,no_go
60,180,1.0,35,65,1.0,0.8,20,-49.348993,37,-0.055941,-0.055941,0.0811,no_go
60,240,1.0,35,65,1.0,0.8,20,-49.348993,37,-0.055941,-0.055941,0.0811,no_go
60,180,1.0,35,65,1.0,0.8,15,-49.513263,37,-0.054795,-0.054795,0.0541,no_go
60,240,1.0,35,65,1.0,0.8,15,-49.513263,37,-0.054795,-0.054795,0.0541,no_go
120,240,1.0,35,60,1.0,0.8,15,-50.020676,45,-0.059862,-0.059862,0.0889,no_go
120,240,1.0,35,60,1.0,0.8,20,-51.428824,45,-0.062344,-0.062344,0.0889,no_go
90,240,1.0,35,60,1.0,0.8,15,-53.215929,49,-0.066397,-0.066397,0.0816,no_go
60,240,1.0,35,60,1.0,0.8,15,-54.174355,50,-0.068849,-0.068849,0.08,no_go
90,240,1.0,35,60,1.0,0.8,20,-54.552847,49,-0.068861,-0.068861,0.0816,no_go
120,180,1.0,35,60,1.0,0.8,15,-54.856569,51,-0.070037,-0.070037,0.0784,no_go
90,180,1.0,35,60,1.0,0.8,15,-55.370998,52,-0.070784,-0.070784,0.0769,no_go
60,240,1.0,35,60,1.0,0.8,20,-55.48732,50,-0.071307,-0.071307,0.08,no_go
120,180,1.0,35,60,1.0,0.8,20,-56.158139,51,-0.072491,-0.072491,0.0784,no_go
90,180,1.0,35,60,1.0,0.8,20,-56.665397,52,-0.073237,-0.073237,0.0769,no_go
60,180,1.0,35,60,1.0,0.8,15,-57.98315,51,-0.072986,-0.072986,0.0588,no_go
60,180,1.0,35,60,1.0,0.8,20,-58.812819,51,-0.07517,-0.07517,0.0588,no_go
