vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
60,360,2.5,32,68,1.0,0.8,20,8.075727,9,0.009253,-0.003571,0.5556,no_go
65,330,2.5,32,68,1.0,0.8,20,8.075727,9,0.009253,-0.003571,0.5556,no_go
65,360,2.5,32,68,1.0,0.8,20,8.075727,9,0.009253,-0.003571,0.5556,no_go
50,330,2.5,32,68,1.0,0.8,25,7.98765,8,0.010983,-0.003842,0.5,no_go
50,330,2.5,35,68,1.0,0.8,25,7.98765,8,0.010983,-0.003842,0.5,no_go
50,330,2.5,38,68,1.0,0.8,25,7.98765,8,0.010983,-0.003842,0.5,no_go
50,330,2.0,32,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
50,330,2.0,35,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
50,360,2.0,32,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
50,360,2.0,35,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
50,390,2.0,32,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
50,390,2.0,35,65,1.0,0.8,20,7.889674,11,0.009326,-0.003571,0.5455,go
60,360,2.5,35,62,1.0,0.8,22,7.880365,13,0.010625,-0.005419,0.5385,go
65,330,2.5,35,62,1.0,0.8,22,7.880365,13,0.010625,-0.005419,0.5385,go
65,360,2.5,35,62,1.0,0.8,22,7.880365,13,0.010625,-0.005419,0.5385,go
50,330,2.5,32,65,1.0,0.8,20,7.80499,9,0.008877,-0.003571,0.5556,no_go
50,330,2.5,35,65,1.0,0.8,20,7.80499,9,0.008877,-0.003571,0.5556,no_go
50,330,2.5,38,65,1.0,0.8,20,7.80499,9,0.008877,-0.003571,0.5556,no_go
60,330,2.0,35,65,1.0,0.8,22,7.741735,14,0.010445,-0.003571,0.5,go
60,360,2.0,35,65,1.0,0.8,22,7.741735,14,0.010445,-0.003571,0.5,go
65,330,2.0,35,65,1.0,0.8,22,7.741735,14,0.010445,-0.003571,0.5,go
65,360,2.0,35,65,1.0,0.8,22,7.741735,14,0.010445,-0.003571,0.5,go
60,390,2.5,35,62,1.0,0.8,20,7.716767,9,0.009085,-0.005419,0.5556,no_go
65,390,2.5,35,62,1.0,0.8,20,7.716767,9,0.009085,-0.005419,0.5556,no_go
60,360,2.5,35,62,1.0,0.8,20,7.666047,13,0.009618,-0.005419,0.5385,go
65,330,2.5,35,62,1.0,0.8,20,7.666047,13,0.009618,-0.005419,0.5385,go
65,360,2.5,35,62,1.0,0.8,20,7.666047,13,0.009618,-0.005419,0.5385,go
